Month,AustralianPort,ForeignPort,Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Passengers_Total,Freight_Total_(tonnes),Mail_Total_(tonnes),Year,Month_num
Jan-85,Adelaide,Auckland,New Zealand,1513,42.167,0.311,985,18.704,0.924,2498,60.871,1.235,1985,1
Jan-85,Adelaide,Bahrain,Bahrain,12,0,0,5,0.033,0,17,0.033,0,1985,1
Jan-85,Adelaide,Bombay,India,7,0,0,5,0,0,12,0,0,1985,1
Jan-85,Adelaide,Frankfurt,Germany,115,0.009,0,171,0,0.248,286,0.009,0.248,1985,1
Jan-85,Adelaide,London,UK,1567,2.8,0,1472,10.618,2.487,3039,13.418,2.487,1985,1
Jan-85,Adelaide,Muscat,Oman,17,0,0,14,0.1,0,31,0.1,0,1985,1
Jan-85,Adelaide,Rome,Italy,79,0.005,0,44,0,0,123,0.005,0,1985,1
Jan-85,Adelaide,Singapore,Singapore,2496,37.345,0,2037,133.203,0.112,4533,170.548,0.112,1985,1
Jan-85,Brisbane,Abu Dhabi,United Arab Emirates,0,0,0,3,0,0,3,0,0,1985,1
Jan-85,Brisbane,Auckland,New Zealand,7157,223.258,0.671,5652,33.032,3.218,12809,256.29,3.889,1985,1
Jan-85,Brisbane,Bahrain,Bahrain,12,0,0,15,0.149,0,27,0.149,0,1985,1
Jan-85,Brisbane,Bangkok,Thailand,623,7.746,0,414,3.995,0,1037,11.741,0,1985,1
Jan-85,Brisbane,Bombay,India,55,0,0,34,0.002,0.083,89,0.002,0.083,1985,1
Jan-85,Brisbane,Christchurch,New Zealand,3148,132.129,0.256,2057,13.745,0,5205,145.874,0.256,1985,1
Jan-85,Brisbane,Frankfurt,Germany,122,0,0,161,0.021,0.677,283,0.021,0.677,1985,1
Jan-85,Brisbane,Hong Kong,Hong Kong,1911,9.352,0,1163,38.95,0.014,3074,48.302,0.014,1985,1
Jan-85,Brisbane,Honiara,Solomon Islands,574,3.227,0,578,12.322,0,1152,15.549,0,1985,1
Jan-85,Brisbane,Honolulu,USA,447,6.618,0,207,0.433,0,654,7.051,0,1985,1
Jan-85,Brisbane,Kuala Lumpur,Malaysia,45,0.1,0,38,0.1,0,83,0.2,0,1985,1
Jan-85,Brisbane,London,UK,1753,4.3,0,1449,1.861,3.454,3202,6.161,3.454,1985,1
Jan-85,Brisbane,Los Angeles,USA,57,2.796,0,0,0,0,57,2.796,0,1985,1
Jan-85,Brisbane,Manila,Philippines,1095,3.911,0,710,12.12,0.127,1805,16.031,0.127,1985,1
Jan-85,Brisbane,Muscat,Oman,4,0,0,0,0,0,4,0,0,1985,1
Jan-85,Brisbane,Nadi,Fiji,809,4.12,0,530,4.914,0,1339,9.034,0,1985,1
Jan-85,Brisbane,Noumea,New Caledonia,384,0.248,0,247,0.167,0,631,0.415,0,1985,1
Jan-85,Brisbane,Port Moresby,Papua New Guinea,2011,20.256,0.448,1917,33.194,2.643,3928,53.45,3.091,1985,1
Jan-85,Brisbane,Port Vila,Vanuatu,459,0.365,0,228,2.735,0,687,3.1,0,1985,1
Jan-85,Brisbane,Rome,Italy,38,0,0,34,0.012,0.113,72,0.012,0.113,1985,1
Jan-85,Brisbane,San Francisco,USA,458,0,0,315,1.716,1.538,773,1.716,1.538,1985,1
Jan-85,Brisbane,Singapore,Singapore,2730,38.395,0,1863,63.976,0.221,4593,102.371,0.221,1985,1
Jan-85,Brisbane,Suva,Fiji,53,0.303,0,76,0.034,0,129,0.337,0,1985,1
Jan-85,Brisbane,Tokyo,Japan,536,4.085,0,384,4.713,0.212,920,8.798,0.212,1985,1
Jan-85,Brisbane,Vancouver,Canada,142,0.937,0,86,0.502,0.467,228,1.439,0.467,1985,1
Jan-85,Brisbane,Wellington,New Zealand,1244,40.824,0.279,1017,9.757,0.366,2261,50.581,0.645,1985,1
Jan-85,Cairns,Honolulu,USA,270,0.118,0,161,0.431,0,431,0.549,0,1985,1
Jan-85,Cairns,Los Angeles,USA,22,0,0,0,0,0,22,0,0,1985,1
Jan-85,Cairns,Port Moresby,Papua New Guinea,995,0.747,0,937,10.186,0,1932,10.933,0,1985,1
Jan-85,Cairns,San Francisco,USA,314,0,0,190,1.124,0,504,1.124,0,1985,1
Jan-85,Cairns,Vancouver,Canada,82,0.454,0,41,0.002,0,123,0.456,0,1985,1
Jan-85,Darwin,Auckland,New Zealand,379,5.529,0,108,0.209,0.031,487,5.738,0.031,1985,1
Jan-85,Darwin,Bahrain,Bahrain,0,0,0,5,0,0,5,0,0,1985,1
Jan-85,Darwin,Bandar Seri Begawan,Brunei,368,0.187,0,230,1.802,0,598,1.989,0,1985,1
Jan-85,Darwin,Bombay,India,0,0,0,5,0,0,5,0,0,1985,1
Jan-85,Darwin,Denpasar,Indonesia,846,0.732,0,581,0,0,1427,0.732,0,1985,1
Jan-85,Darwin,Frankfurt,Germany,0,0,0,58,0,0.013,58,0,0.013,1985,1
Jan-85,Darwin,Jakarta,Indonesia,36,0.136,0,57,0.05,0,93,0.186,0,1985,1
Jan-85,Darwin,London,UK,163,0,0,80,0.075,0.078,243,0.075,0.078,1985,1
Jan-85,Darwin,Rome,Italy,0,0,0,28,0.025,0.008,28,0.025,0.008,1985,1
Jan-85,Darwin,Singapore,Singapore,1150,7.058,0.002,685,0.815,0.031,1835,7.873,0.033,1985,1
Jan-85,Hobart,Christchurch,New Zealand,903,7.338,0.086,886,0.669,0.009,1789,8.007,0.095,1985,1
Jan-85,Melbourne,Abu Dhabi,United Arab Emirates,19,0,0,0,0,0,19,0,0,1985,1
Jan-85,Melbourne,Amsterdam,Netherlands,924,11.689,0.429,565,1.857,3.24,1489,13.546,3.669,1985,1
